Table,Column Name,Column ID,Key Type
users,구글 oauth_id,oauth_id,-
users,회원 아이디,user_id,PK
users,생성 일자,created_at,-
users,마지막 로그인 일자,last_login,-
users,팔로워 수,follower_count,-
users,팔로잉 수,following_count,-
users,닉네임,nickname,-
users,보유 포인트,current_points,-
users,역할,role,-
user_interests,회원 아이디,user_id,"PK,FK"
user_interests,카테고리 아이디,category_id,"PK,FK"
attendance,회원 아이디,user_id,FK
attendance,출석 아이디,attend_id,PK
categories,카테고리 이름,category_name,-
categories,카테고리 아이디,category_id,PK
services,회원 아이디,user_id,FK
services,등록 서비스 내용,content,-
services,등록 서비스 제목,title,-
services,등록 상태,status,-
services,생성날짜,created_at,-
services,등록 서비스 아이디,service_id,PK
services,카테고리 아이디,category_id,FK
feedbacks,등록 서비스 아이디,service_id,FK
feedbacks,피드백 내용,content,-
feedbacks,피드백 아이디,feedback_id,PK
feedbacks,회원 아이디,user_id,FK
feedbacks,수정시간,updated_at,-
feedbacks,생성시간,created_at,-
feedbacks,글자수,char_count,-
promotions,사용 포인트,used_points,-
promotions,활성화 상태,status,-
promotions,등록 서비스 아이디,service_id,FK
promotions,홍보 종류 아이디,promo_product_id,FK
promotions,홍보 아이디,promotion_id,PK
promotions,종료일자,end_at,-
promotions,시작일자,start_at,-
point_logs,포인트 로그 아이디,log_id,PK
point_logs,현재 포인트,current_point,-
point_logs,포인트 변동 시간,updated_at,-
point_logs,포인트 변동량,amount,-
point_logs,회원 아이디,user_id,FK
community_posts,포스트 아이디,post_id,PK
community_posts,포스트 제목,post_title,-
community_posts,포스트 생성 일시,created_at,-
community_posts,포스트 내용,post_content,-
community_posts,포스트 수정 일시,updated_at,-
community_posts,회원 아이디,user_id,FK
community_comments,포스트 아이디,post_id,FK
community_comments,댓글 아이디,comment_id,PK
community_comments,댓글 내용,content,-
community_comments,댓글 수정 시간,updated_at,-
report, 신고 대상 구분, target_type,-
report,신고 대상 아이디,target_id,-
report,신고 아이디,report_id,PK
report,신고 유형,report_type,-
report,신고 사유,report_reason,-
report,신고 일시,created_at,-
report,신고 처리 상태,status,-
report,회원아이디,user_id,FK
promotion_products,홍보 종류 가격,price,-
promotion_products,홍보 종류 아이디,promo_product_id,PK
promotion_products,홍보 종류 이름,promo_product_name,-
service_entry_logs,진입한 서비스,service_id,FK
service_entry_logs,로그 id,log_id,PK
service_entry_logs,진입 시각,occurred_at,-
service_entry_logs,회원 id,user_id,FK
service_entry_logs,세션 id,session_id,-
service_entry_logs,클릭 발생 페이지,source_page,-
service_entry_logs,광고 종류,promo_product_type,FK
user_follows,팔로우 일시,created_at,-
user_follows,상태 변경 일시,updated_at,-
user_follows,팔로우 관계 id,follow_id,PK
user_follows,팔로우 당한 user id,following_id,FK
user_follows,팔로우 건 user id,follower_id,FK
user_follows,status,상태,-
